Section,Beam Mark,Fck,Width_mm,Depth_mm,Moment_kNm,Req_BotBar_Area_mm2
14,2B51-S5-R,25,150,500,45.0,192.0
15,2B51-S6-L,25,150,500,36.0,154.0
16,2B51-S6-M,25,150,500,36.0,154.0
17,2B51-S6-R,25,150,500,36.0,154.0
18,2B51-S7-L,25,150,500,36.0,154.0
19,2B51-S7-M,25,150,500,36.0,154.0
20,2B51-S7-R,25,150,500,36.0,154.0
1,2B53-S1-L,25,150,600,157.0,719.0
2,2B53-S1-R,25,150,600,318.0,2025.0
6,2B53-S3-L,25,150,500,85.0,110.0
7,2B53-S3-M,25,150,500,90.0,110.0
8,2B53-S3-R,25,150,500,95.0,110.0
9,2B53-S4-L,25,150,500,100.0,110.0
10,2B53-S4-M,25,150,500,105.0,261.0
11,2B53-S4-R,25,150,500,110.0,173.0
12,2B53-S5-L,25,150,500,115.0,110.0
13,2B53-S5-M,25,150,500,120.0,197.0
14,2B53-S5-R,25,150,500,125.0,134.0
15,2B53-S6-L,25,150,500,130.0,110.0
16,2B53-S6-M,25,150,500,135.0,110.0
17,2B53-S6-R,25,150,500,140.0,110.0
18,2B53-S7-L,25,150,500,145.0,910.0
19,2B53-S7-M,25,150,500,150.0,1188.0
20,2B53-S7-M,25,150,500,150.0,601.0
1,2B56-S1,25,125,450,6.0,100.0
1,2B5-S1-L,25,125,450,85.0,561.0
2,2B5-S1-M,25,125,450,111.0,789.0
3,2B5-S1-R,25,125,450,60.0,343.0
4,2B5-S2-L,25,125,450,60.0,343.0
5,2B5-S2-M,25,125,450,69.0,403.0
6,2B5-S2-R,25,125,450,40.0,220.0
7,2B5-S3-L,25,125,450,40.0,220.0
8,2B5-S3-M,25,125,450,66.0,382.0
9,2B5-S3-R,25,125,450,40.0,220.0
10,2B5-S4-L,25,125,450,40.0,219.0
11,2B5-S4-M,25,125,450,65.0,391.0
12,2B5-S4-R,25,125,450,40.0,219.0
13,2B5-S5-L,25,125,450,40.0,219.0
14,2B5-S5-M,25,125,450,66.0,398.0
15,2B5-S5-R,25,125,450,40.0,219.0
16,2B5-S6-L,25,125,450,41.0,224.0
17,2B5-S6-M,25,125,450,63.0,377.0
18,2B5-S6-R,25,125,450,34.0,184.0
19,2B5-S7-L,25,125,450,31.0,167.0
20,2B5-S7-M,25,125,450,41.0,234.0
21,2B5-S7-R,25,125,450,30.0,161.0
22,2B5-S8-L,25,125,450,29.0,157.0
23,2B5-S8-M,25,125,450,55.0,311.0
24,2B5-S8-R,25,125,450,29.0,157.0
25,2B5-S9-L,25,125,450,28.0,150.0
26,2B5-S9-R,25,125,450,14.0,79.0
1,2B62-S1-L,25,150,600,146.0,650.0
3,2B62-S2-L,25,150,500,136.0,751.0
5,2B62-S2-R,25,150,500,133.0,731.0
6,2B62-S3-L,25,150,500,62.0,321.0
8,2B62-S3-R,25,150,500,133.0,299.0
11,2B62-S4-R,25,150,500,62.0,500.0
1,2B66-S1-L,25,150,500,5.0,113.0
2,2B66-S1-M,25,150,500,5.0,113.0
3,2B66-S1-R,25,150,500,3.0,113.0
3,2B68-S2-L,25,150,500,117.0,625.0
4,2B68-S2-M,25,150,500,130.0,710.0
5,2B68-S2-R,25,150,500,135.0,744.0
6,2B68-S3-L,25,150,500,89.0,456.0
7,2B68-S3-M,25,150,500,89.0,456.0
8,2B68-S3-R,25,150,500,128.0,456.0
9,2B68-S4-L,25,150,500,120.0,701.0
10,2B68-S4-M,25,150,450,115.0,717.0
11,2B68-S4-R,25,150,450,100.0,701.0
13,2B68-S5-L,25,150,450,90.0,662.0
12,2B68-S5-M,25,150,450,95.0,712.0
14,2B68-S5-R,25,150,450,85.0,655.0
16,2B68-S6-L,25,150,450,75.0,642.0
15,2B68-S6-M,25,150,450,80.0,712.0
17,2B68-S6-R,25,150,450,70.0,623.0
18,2B68-S7-L,25,150,450,68.0,756.0
19,2B68-S7-M,25,150,450,66.0,772.0
20,2B68-S7-R,25,150,450,64.0,763.0
1,2B69-S1-L,25,150,600,118.0,650.0
3,2B69-S1-L,25,150,500,114.0,765.0
5,2B69-S2-R,25,150,500,110.0,744.0
6,2B69-S2-L,25,150,500,108.0,203.0
7,2B69-S3-M,25,150,500,106.0,377.0
8,2B69-S3-R,25,150,500,104.0,213.0
9,2B69-S3-L,25,150,500,102.0,734.0
11,2B69-S4-R,25,150,500,98.0,695.0
12,2B69-S4-L,25,150,500,96.0,688.0
13,2B69-S5-M,25,150,500,94.0,1109.0
14,2B69-S5-R,25,150,500,92.0,681.0
15,2B69-S5-L,25,150,500,90.0,681.0
16,2B69-S6-M,25,150,500,88.0,1146.0
17,2B69-S6-R,25,150,500,86.0,688.0
18,2B69-S6-L,25,150,500,84.0,729.0
20,2B69-S7-R,25,150,500,80.0,729.0
1,2B71-S1-L,25,150,600,146.0,650.0
3,2B71-S2-L,25,150,500,139.0,772.0
5,2B71-S2-R,25,150,500,136.0,751.0
6,2B71-S3-L,25,150,500,4.0,110.0
7,2B71-S3-M,25,150,500,7.0,110.0
8,2B71-S3-R,25,150,500,5.0,110.0
9,2B72-S1-L,25,150,500,20.0,686.0
11,2B72-S1-R,25,150,500,20.0,708.0
12,2B72-S2-M,25,150,500,20.0,715.0
14,2B72-S2-M,25,150,500,20.0,701.0
15,2B72-S3-R,25,150,500,20.0,701.0
17,2B72-S3-R,25,150,500,20.0,648.0
18,2B88-S1-L,25,150,600,177.0,739.0
19,2B88-S1-M,25,150,600,293.0,1391.0
20,2B88-S1-R,25,150,600,158.0,652.0
1,2B82-S1-L,25,150,600,156.0,702.0
3,2B82-S2-L,25,150,500,129.0,708.0
5,2B82-S2-R,25,150,500,114.0,610.0
6,2B82-S3-L,25,150,500,136.0,756.0
8,2B82-S3-R,25,150,500,37.0,756.0
9,2B82-S4-L,25,150,500,136.0,591.0
10,2B82-S4-M,25,150,500,216.0,1017.0
11,2B82-S4-R,25,150,500,37.0,511.0
1,2B83-S1-L,25,125,450,2.0,80.0
1,2B85-S1-L,25,150,500,124.0,675.0
3,2B85-S1-R,25,150,500,137.0,768.0
1,2B86-S1-L,25,150,600,79.0,314.0
3,2B86-S2-R,25,150,600,86.0,585.0
4,2B86-S2-L,25,150,600,88.0,899.0
5,2B86-S3-R,25,150,600,90.0,560.0
6,2B86-S3-L,25,150,600,92.0,655.0
8,2B86-S4-L,25,150,500,96.0,655.0
9,2B86-S5-R,25,150,500,98.0,610.0
11,2B86-S6-R,25,150,500,102.0,604.0
12,2B86-S6-L,25,150,500,104.0,610.0
13,2B86-S7-R,25,150,500,106.0,1099.0
14,2B86-S7-L,25,150,500,108.0,623.0
15,2B86-S8-R,25,150,500,110.0,572.0
16,2B86-S8-L,25,150,500,112.0,1017.0
17,2B86-S9-R,25,150,500,114.0,572.0
18,2B86-S9-L,25,150,500,116.0,629.0
19,2B86-S10-R,25,150,500,118.0,927.0
20,2B86-S10-L,25,150,500,120.0,662.0
1,2B87-S1-L,25,125,600,71.0,283.0
2,2B87-S1-M,25,125,600,84.0,339.0
3,2B87-S1-R,25,125,600,69.0,275.0
4,2B87-S2-L,25,125,600,68.0,270.0
5,2B87-S2-M,25,125,600,71.0,283.0
6,2B87-S2-R,25,125,600,45.0,177.0
7,2B87-S3-L,25,125,600,26.0,106.0
9,2B87-S3-R,25,125,600,47.0,185.0
10,2B87-S4-L,25,125,600,68.0,185.0
12,2B87-S4-R,25,125,600,69.0,173.0
13,2B87-S5-L,25,125,600,26.0,130.0
16,2B87-S6-L,25,125,600,20.0,262.0
17,2B87-S6-M,25,125,600,53.0,322.0
18,2B87-S6-R,25,125,600,37.0,104.0
1,2B71-S1-L,25,150,600,146.0,650.0
1,2B88-S1-L,25,150,600,177.0,739.0
2,2B88-S1-M,25,150,600,293.0,1391.0
3,2B88-S1-R,25,150,600,158.0,652.0
